"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.298,0.005,0.01,0.22658,0.0020114,0
0.299,0.005,0.01,0.22272,0.0018176,0
0.3,0.005,0.01,0.21944,0.0016658,0
0.301,0.005,0.01,0.21624,0.0015166,0
0.302,0.005,0.01,0.2132,0.0014113,0
0.303,0.005,0.01,0.21033,0.0013157,0
0.304,0.005,0.01,0.20737,0.0011735,0
0.305,0.005,0.01,0.20399,0.00098125,0
0.306,0.005,0.01,0.20074,0.00080297,0
0.307,0.005,0.01,0.19807,0.00066555,0
0.308,0.005,0.01,0.19539,0.00053956,0
0.309,0.005,0.01,0.19285,0.00043269,0
0.31,0.005,0.01,0.19062,0.00032309,0
0.311,0.005,0.01,0.18834,0.00019766,0
0.312,0.005,0.01,0.18595,8.2813e-05,0
0.313,0.005,0.01,0.18357,-2.0378e-05,0
0.314,0.005,0.01,0.18128,-0.00011863,0
0.315,0.005,0.01,0.17897,-0.00019936,0
0.316,0.005,0.01,0.17688,-0.00026386,0
0.317,0.005,0.01,0.17512,-0.00033541,0
0.318,0.005,0.01,0.17333,-0.00042684,0
0.319,0.005,0.01,0.17165,-0.00050948,0
0.32,0.005,0.01,0.17003,-0.00056773,0
0.321,0.005,0.01,0.16818,-0.00060936,0
0.322,0.005,0.01,0.16635,-0.00064017,0
0.323,0.005,0.01,0.16472,-0.00067032,0
0.324,0.005,0.01,0.16316,-0.00069788,0
0.325,0.005,0.01,0.16142,-0.00071435,0
0.326,0.005,0.01,0.15976,-0.00072241,0
0.327,0.005,0.01,0.15831,-0.00073137,0
0.328,0.005,0.01,0.15668,-0.00073754,0
0.329,0.005,0.01,0.15524,-0.00075964,0
0.33,0.005,0.01,0.15414,-0.00080662,0
0.331,0.005,0.01,0.153,-0.00085574,0
0.332,0.005,0.01,0.15177,-0.00088874,0
0.333,0.005,0.01,0.15041,-0.00088942,0
0.334,0.005,0.01,0.149,-0.00087921,0
0.335,0.005,0.01,0.14762,-0.00090978,0
0.336,0.005,0.01,0.1464,-0.00095857,0
0.337,0.005,0.01,0.14522,-0.00097532,0
0.338,0.005,0.01,0.14375,-0.00095253,0
0.339,0.005,0.01,0.14231,-0.00092675,0
0.34,0.005,0.01,0.1411,-0.00093563,0
0.341,0.005,0.01,0.13992,-0.00096999,0
0.342,0.005,0.01,0.1388,-0.001024,0
0.343,0.005,0.01,0.13773,-0.00108,0
0.344,0.005,0.01,0.13664,-0.0011294,0
0.345,0.005,0.01,0.13547,-0.0011875,0
0.346,0.005,0.01,0.13427,-0.0012145,0
0.347,0.005,0.01,0.13301,-0.0011855,0
0.348,0.005,0.01,0.13171,-0.0011262,0
0.349,0.005,0.01,0.13077,-0.0011244,0
0.35,0.005,0.01,0.13039,-0.0012069,0
0.351,0.005,0.01,0.13102,-0.0013076,0
0.352,0.005,0.01,0.13248,-0.0014851,0
0.353,0.005,0.01,0.13573,-0.0017745,0
0.354,0.005,0.01,0.14359,-0.0021261,0
0.355,0.005,0.01,0.15204,-0.0026264,0
0.356,0.005,0.01,0.10271,-0.0051774,0
0.263,-0.0018667,-0.01,0.69634,0.037762,0
0.264,-0.0018667,-0.01,0.68875,0.033133,0
0.265,-0.0018667,-0.01,0.67469,0.024915,0
0.266,-0.0018667,-0.01,0.66482,0.017984,0
