"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.317,0.005,-0.01,0.10513,-0.00030021,0
0.318,0.005,-0.01,0.10314,-0.00038895,0
0.319,0.005,-0.01,0.10119,-0.00047033,0
0.32,0.005,-0.01,0.099149,-0.00052581,0
0.321,0.005,-0.01,0.096973,-0.00056637,0
0.322,0.005,-0.01,0.094908,-0.00059799,0
0.323,0.005,-0.01,0.093036,-0.00062722,0
0.324,0.005,-0.01,0.091191,-0.00065174,0
0.325,0.005,-0.01,0.089331,-0.0006678,0
0.326,0.005,-0.01,0.087526,-0.00067513,0
0.327,0.005,-0.01,0.085816,-0.00067934,0
0.328,0.005,-0.01,0.084097,-0.00068315,0
0.329,0.005,-0.01,0.082547,-0.00070587,0
0.33,0.005,-0.01,0.081215,-0.00075231,0
0.331,0.005,-0.01,0.07989,-0.00080062,0
0.332,0.005,-0.01,0.078512,-0.00083242,0
0.333,0.005,-0.01,0.076991,-0.00082751,0
0.334,0.005,-0.01,0.075434,-0.00081041,0
0.335,0.005,-0.01,0.074062,-0.0008439,0
0.336,0.005,-0.01,0.072786,-0.00089586,0
0.337,0.005,-0.01,0.07142,-0.00090697,0
0.338,0.005,-0.01,0.069873,-0.00087895,0
0.339,0.005,-0.01,0.068342,-0.00084937,0
0.34,0.005,-0.01,0.066982,-0.00085526,0
0.341,0.005,-0.01,0.065679,-0.00088911,0
0.342,0.005,-0.01,0.064441,-0.00094519,0
0.343,0.005,-0.01,0.063188,-0.0010006,0
0.344,0.005,-0.01,0.061872,-0.0010459,0
0.345,0.005,-0.01,0.060538,-0.0011051,0
0.346,0.005,-0.01,0.059055,-0.0011258,0
0.347,0.005,-0.01,0.057393,-0.0010787,0
0.348,0.005,-0.01,0.055638,-0.0010031,0
0.349,0.005,-0.01,0.05405,-0.00099195,0
0.35,0.005,-0.01,0.052645,-0.0010697,0
0.351,0.005,-0.01,0.051455,-0.001168,0
0.352,0.005,-0.01,0.050611,-0.001328,0
0.353,0.005,-0.01,0.050344,-0.0015854,0
0.354,0.005,-0.01,0.052653,-0.0018181,0
0.355,0.005,-0.01,0.056296,-0.0019997,0
0.356,0.005,-0.01,0.036278,-0.0037746,0
0.273,0.005,0.01,0.28882,0.003585,0
0.274,0.005,0.01,0.2882,0.003395,0
0.275,0.005,0.01,0.28644,0.0031746,0
0.276,0.005,0.01,0.28496,0.0032406,0
0.277,0.005,0.01,0.28406,0.0032785,0
0.278,0.005,0.01,0.28117,0.0030472,0
0.279,0.005,0.01,0.27759,0.003198,0
0.28,0.005,0.01,0.27427,0.0036392,0
0.281,0.005,0.01,0.26913,0.0037224,0
0.282,0.005,0.01,0.26216,0.0035455,0
0.283,0.005,0.01,0.25478,0.0035105,0
0.284,0.005,0.01,0.24803,0.0038141,0
0.285,0.005,0.01,0.24108,0.0042212,0
0.286,0.005,0.01,0.23415,0.0045703,0
0.287,0.005,0.01,0.22762,0.0046768,0
0.288,0.005,0.01,0.22072,0.004491,0
0.289,0.005,0.01,0.21419,0.0041903,0
0.29,0.005,0.01,0.20874,0.004033,0
0.291,0.005,0.01,0.2038,0.0040967,0
0.292,0.005,0.01,0.19882,0.0041268,0
0.293,0.005,0.01,0.1936,0.0038679,0
0.294,0.005,0.01,0.18835,0.0034313,0
0.295,0.005,0.01,0.18323,0.0030834,0
0.296,0.005,0.01,0.17847,0.0028835,0
0.297,0.005,0.01,0.17388,0.0026996,0
0.298,0.005,0.01,0.16903,0.0024487,0
0.299,0.005,0.01,0.16429,0.0021838,0
0.3,0.005,0.01,0.15994,0.0019572,0
0.301,0.005,0.01,0.15577,0.0017761,0
0.302,0.005,0.01,0.15186,0.0016558,0
0.303,0.005,0.01,0.14808,0.0015379,0
0.304,0.005,0.01,0.14423,0.0013595,0
0.305,0.005,0.01,0.14023,0.0011327,0
0.306,0.005,0.01,0.1364,0.00091549,0
0.307,0.005,0.01,0.133,0.00074895,0
0.308,0.005,0.01,0.1298,0.0006183,0
0.309,0.005,0.01,0.12668,0.00050333,0
0.31,0.005,0.01,0.12373,0.00038183,0
0.311,0.005,0.01,0.12094,0.00025299,0
0.312,0.005,0.01,0.11808,0.00013415,0
0.313,0.005,0.01,0.1152,2.2752e-05,0
0.314,0.005,0.01,0.11238,-8.3976e-05,0
0.315,0.005,0.01,0.10975,-0.00016686,0
0.316,0.005,0.01,0.10734,-0.00023104,0
0.317,0.005,0.01,0.10513,-0.00030021,0
0.318,0.005,0.01,0.10314,-0.00038895,0
0.319,0.005,0.01,0.10119,-0.00047033,0
0.32,0.005,0.01,0.099149,-0.00052581,0
0.321,0.005,0.01,0.096973,-0.00056637,0
0.322,0.005,0.01,0.094908,-0.00059799,0
0.323,0.005,0.01,0.093036,-0.00062722,0
0.324,0.005,0.01,0.091191,-0.00065174,0
0.325,0.005,0.01,0.089331,-0.0006678,0
0.326,0.005,0.01,0.087526,-0.00067513,0
0.327,0.005,0.01,0.085816,-0.00067934,0
0.328,0.005,0.01,0.084097,-0.00068315,0
0.329,0.005,0.01,0.082547,-0.00070587,0
0.33,0.005,0.01,0.081215,-0.00075231,0
0.331,0.005,0.01,0.07989,-0.00080062,0
0.332,0.005,0.01,0.078512,-0.00083242,0
0.333,0.005,0.01,0.076991,-0.00082751,0
0.334,0.005,0.01,0.075434,-0.00081041,0
0.335,0.005,0.01,0.074062,-0.0008439,0
0.336,0.005,0.01,0.072786,-0.00089586,0
0.337,0.005,0.01,0.07142,-0.00090697,0
0.338,0.005,0.01,0.069873,-0.00087895,0
0.339,0.005,0.01,0.068342,-0.00084937,0
0.34,0.005,0.01,0.066982,-0.00085526,0
0.341,0.005,0.01,0.065679,-0.00088911,0
0.342,0.005,0.01,0.064441,-0.00094519,0
0.343,0.005,0.01,0.063188,-0.0010006,0
0.344,0.005,0.01,0.061872,-0.0010459,0
0.345,0.005,0.01,0.060538,-0.0011051,0
0.346,0.005,0.01,0.059055,-0.0011258,0
0.347,0.005,0.01,0.057393,-0.0010787,0
0.348,0.005,0.01,0.055638,-0.0010031,0
0.349,0.005,0.01,0.05405,-0.00099195,0
0.35,0.005,0.01,0.052645,-0.0010697,0
0.351,0.005,0.01,0.051455,-0.001168,0
0.352,0.005,0.01,0.050611,-0.001328,0
0.353,0.005,0.01,0.050344,-0.0015854,0
0.354,0.005,0.01,0.052653,-0.0018181,0
0.355,0.005,0.01,0.056296,-0.0019997,0
0.356,0.005,0.01,0.036278,-0.0037746,0
0.263,-0.0018667,-0.01,0.72221,-0.0049837,0
0.264,-0.0018667,-0.01,0.72123,-0.0048208,0
0.265,-0.0018667,-0.01,0.71931,-0.0044971,0
0.266,-0.0018667,-0.01,0.71764,-0.0041201,0
0.267,-0.0018667,-0.01,0.71618,-0.0036517,0
0.268,-0.0018667,-0.01,0.71489,-0.0031945,0
0.269,-0.0018667,-0.01,0.71382,-0.0027498,0
0.27,-0.0018667,-0.01,0.71296,-0.0022587,0
0.271,-0.0018667,-0.01,0.71232,-0.0017872,0
0.272,-0.0018667,-0.01,0.71186,-0.0013411,0
0.273,-0.0018667,-0.01,0.71158,-0.00082942,0
0.274,-0.0018667,-0.01,0.71149,-0.0002768,0
0.275,-0.0018667,-0.01,0.71165,0.00022133,0
0.276,-0.0018667,-0.01,0.71195,0.00068536,0
0.277,-0.0018667,-0.01,0.71238,0.0010759,0
0.278,-0.0018667,-0.01,0.71291,0.001331,0
0.279,-0.0018667,-0.01,0.71351,0.0015009,0
0.28,-0.0018667,-0.01,0.71419,0.0015785,0
0.281,-0.0018667,-0.01,0.71491,0.0015942,0
0.282,-0.0018667,-0.01,0.71568,0.0015894,0
0.283,-0.0018667,-0.01,0.71655,0.0014939,0
0.284,-0.0018667,-0.01,0.71748,0.0014299,0
0.285,-0.0018667,-0.01,0.71845,0.0015928,0
0.286,-0.0018667,-0.01,0.71963,0.0018513,0
0.287,-0.0018667,-0.01,0.72105,0.0022002,0
0.288,-0.0018667,-0.01,0.72261,0.0028539,0
0.289,-0.0018667,-0.01,0.72445,0.0036679,0
0.29,-0.0018667,-0.01,0.72662,0.0044943,0
0.291,-0.0018667,-0.01,0.72901,0.0053755,0
0.292,-0.0018667,-0.01,0.73162,0.0062553,0
0.293,-0.0018667,-0.01,0.73444,0.0071062,0
0.294,-0.0018667,-0.01,0.73745,0.0079149,0
0.295,-0.0018667,-0.01,0.74063,0.0086179,0
0.296,-0.0018667,-0.01,0.74394,0.009207,0
0.297,-0.0018667,-0.01,0.74735,0.0096728,0
0.298,-0.0018667,-0.01,0.75083,0.0099627,0
0.299,-0.0018667,-0.01,0.75432,0.010123,0
0.3,-0.0018667,-0.01,0.75779,0.01022,0
0.301,-0.0018667,-0.01,0.76125,0.010227,0
0.302,-0.0018667,-0.01,0.76465,0.010161,0
0.303,-0.0018667,-0.01,0.76798,0.010065,0
0.304,-0.0018667,-0.01,0.77124,0.009922,0
0.305,-0.0018667,-0.01,0.77443,0.0097126,0
0.306,-0.0018667,-0.01,0.77751,0.0094723,0
0.307,-0.0018667,-0.01,0.78049,0.0092201,0
0.308,-0.0018667,-0.01,0.78338,0.0089337,0
0.309,-0.0018667,-0.01,0.78617,0.0086352,0
0.31,-0.0018667,-0.01,0.78886,0.0083459,0
0.311,-0.0018667,-0.01,0.79147,0.0080472,0
0.312,-0.0018667,-0.01,0.79399,0.0077457,0
0.313,-0.0018667,-0.01,0.79642,0.0074596,0
0.314,-0.0018667,-0.01,0.79876,0.0071859,0
0.315,-0.0018667,-0.01,0.80102,0.0069185,0
0.316,-0.0018667,-0.01,0.8032,0.0066671,0
0.317,-0.0018667,-0.01,0.80531,0.0064332,0
0.318,-0.0018667,-0.01,0.80734,0.006208,0
0.319,-0.0018667,-0.01,0.80931,0.0059927,0
0.32,-0.0018667,-0.01,0.81121,0.0057903,0
0.321,-0.0018667,-0.01,0.81306,0.0055969,0
0.322,-0.0018667,-0.01,0.81485,0.0054132,0
0.323,-0.0018667,-0.01,0.81659,0.0052425,0
0.324,-0.0018667,-0.01,0.81829,0.0050816,0
0.325,-0.0018667,-0.01,0.81994,0.0049295,0
0.326,-0.0018667,-0.01,0.82155,0.0047872,0
0.327,-0.0018667,-0.01,0.82312,0.0046565,0
0.328,-0.0018667,-0.01,0.82466,0.0045396,0
0.329,-0.0018667,-0.01,0.82616,0.0044355,0
0.33,-0.0018667,-0.01,0.82764,0.0043425,0
0.331,-0.0018667,-0.01,0.82909,0.0042587,0
0.332,-0.0018667,-0.01,0.83052,0.0041808,0
0.333,-0.0018667,-0.01,0.83194,0.0041092,0
0.334,-0.0018667,-0.01,0.83333,0.0040457,0
0.335,-0.0018667,-0.01,0.83471,0.0039919,0
0.336,-0.0018667,-0.01,0.83607,0.0039465,0
0.337,-0.0018667,-0.01,0.83743,0.0039067,0
0.338,-0.0018667,-0.01,0.83878,0.0038739,0
0.339,-0.0018667,-0.01,0.84013,0.0038473,0
0.34,-0.0018667,-0.01,0.84148,0.0038286,0
0.341,-0.0018667,-0.01,0.84284,0.0038211,0
0.342,-0.0018667,-0.01,0.8442,0.0038251,0
0.343,-0.0018667,-0.01,0.84558,0.0038406,0
0.344,-0.0018667,-0.01,0.84697,0.0038695,0
0.345,-0.0018667,-0.01,0.84838,0.0039123,0
0.346,-0.0018667,-0.01,0.84982,0.0039724,0
0.347,-0.0018667,-0.01,0.85129,0.0040479,0
0.348,-0.0018667,-0.01,0.85283,0.0041243,0
0.349,-0.0018667,-0.01,0.85435,0.004241,0
0.35,-0.0018667,-0.01,0.85597,0.0043387,0
0.351,-0.0018667,-0.01,0.85795,0.0043643,0
0.352,-0.0018667,-0.01,0.85882,0.0049055,0
0.353,-0.0018667,-0.01,0.86122,0.0049391,0
0.354,-0.0018667,-0.01,0.86692,0.0054594,0
0.355,-0.0018667,-0.01,0.87011,0.014737,0
